drugId,drugName,drugType
CHEMBL2012881,CHEMBL2012881,Small molecule
CHEMBL2047680,CHEMBL2047680,Small molecule
CHEMBL205437,CHEMBL205437,Small molecule
CHEMBL2104824,INDANAZOLINE,Small molecule
CHEMBL2105720,LESINURAD,Small molecule
CHEMBL213831,CHEMBL213831,Small molecule
CHEMBL2178573,ILACIRNON,Small molecule
CHEMBL218006,CHEMBL218006,Small molecule
CHEMBL2316158,CHEMBL2316158,Small molecule
CHEMBL2397138,CHEMBL2397138,Small molecule
CHEMBL247484,TRICETIN,Small molecule
CHEMBL249899,CHEMBL249899,Small molecule
CHEMBL272114,CHEMBL272114,Small molecule
CHEMBL276832,HYDRALAZINE,Small molecule
CHEMBL286678,CHEMBL286678,Small molecule
CHEMBL287631,PROGABIDE,Small molecule
CHEMBL3039508,NALDEMEDINE TOSYLATE,Small molecule
CHEMBL3234871,CHEMBL3234871,Small molecule
CHEMBL3322572,CHEMBL3322572,Small molecule
CHEMBL3545363,GLECAPREVIR,Small molecule
CHEMBL3545417,GLPG0492,Small molecule
CHEMBL3585362,CHEMBL3585362,Small molecule
CHEMBL3589200,CHEMBL3589200,Small molecule
CHEMBL3601192,CHEMBL3601192,Small molecule
CHEMBL367169,CHEMBL367169,Small molecule
CHEMBL368204,CHEMBL368204,Small molecule
CHEMBL3734797,CHEMBL3734797,Small molecule
CHEMBL390990,CHEMBL390990,Small molecule
CHEMBL392990,CHEMBL392990,Small molecule
CHEMBL3990025,OLENDALIZUMAB,Antibody
CHEMBL412873,SPARTEINE,Small molecule
CHEMBL4297211,CEFIDEROCOL SULFATE TOSYLATE,Small molecule
CHEMBL4297425,BENDAMUSTINE DODECYL ESTER,Small molecule
CHEMBL4297594,VERDIPERSTAT,Small molecule
CHEMBL4297639,LORECIVIVINT,Small molecule
CHEMBL4297934,DIAPEP-277,Unknown
CHEMBL4455580,CHEMBL4455580,Unknown
CHEMBL449782,CEPHARANTHINE,Small molecule
CHEMBL45483,SC-44463,Small molecule
CHEMBL4594352,TLC-388,Small molecule
CHEMBL4650299,HEPARIN,Oligosaccharide
CHEMBL4650324,VEBICORVIR,Small molecule
CHEMBL4650452,BNC-210,Unknown
CHEMBL496879,CHEMBL496879,Small molecule
CHEMBL496942,CHEMBL496942,Small molecule
CHEMBL5095355,POTASSIUM MAGNESIUM CITRATE (4:1:2),Unknown
CHEMBL519939,CHEMBL519939,Small molecule
CHEMBL522351,CHEMBL522351,Small molecule
CHEMBL584,NELFINAVIR,Small molecule
CHEMBL594,EMEDASTINE,Small molecule
CHEMBL600366,CHEMBL600366,Small molecule
CHEMBL6622,ISOSORBIDE DINITRATE,Small molecule
CHEMBL67279,TALABOSTAT,Small molecule
CHEMBL79261,DU 125530,Small molecule
CHEMBL836,TAMSULOSIN,Small molecule
CHEMBL1093448,CHEMBL1093448,Small molecule
CHEMBL1094700,CHEMBL1094700,Small molecule
CHEMBL1173107,CHEMBL1173107,Small molecule
CHEMBL1196088,CHEMBL1196088,Small molecule
CHEMBL1200961,BROMPHENIRAMINE MALEATE,Small molecule
CHEMBL1200967,BROMODIPHENHYDRAMINE HYDROCHLORIDE,Small molecule
CHEMBL1201022,PHENAZOPYRIDINE HYDROCHLORIDE,Small molecule
CHEMBL1201084,SODIUM IODIDE I 131,Small molecule
CHEMBL1201239,IODAMIDE,Small molecule
CHEMBL1232205,CHEMBL1232205,Small molecule
CHEMBL1234168,TRIMETHYLLYSINE,Small molecule
CHEMBL1237066,CALCIUM GLUCEPTATE,Small molecule
CHEMBL1349,VALACYCLOVIR,Small molecule
CHEMBL1429,DESMOPRESSIN,Protein
CHEMBL1452805,CHEMBL1452805,Small molecule
CHEMBL15413,FLOMOXEF,Small molecule
CHEMBL166754,CHEMBL166754,Small molecule
CHEMBL1743040,MILATUZUMAB,Antibody
CHEMBL1774055,CHEMBL1774055,Small molecule
CHEMBL1790180,ENDOTHELIN 3,Protein
CHEMBL1946618,AZD-7268,Small molecule
CHEMBL1972466,CHEMBL1972466,Small molecule
CHEMBL2035874,EPROTIROME,Small molecule
CHEMBL2042122,FLUTEMETAMOL F 18,Small molecule
CHEMBL2104404,EMODEPSIDE,Small molecule
CHEMBL2108061,VOLOCIXIMAB,Antibody
CHEMBL2109219,PERTUSSIS VACCINE,Unknown
CHEMBL2109374,TRC-093,Antibody
CHEMBL2109539,RG-7652,Antibody
CHEMBL2109636,VILOBELIMAB,Antibody
CHEMBL2110659,APLINDORE,Small molecule
CHEMBL214393,UMP,Small molecule
CHEMBL223360,LINIFANIB,Small molecule
CHEMBL233224,CHEMBL233224,Small molecule
CHEMBL23838,PARAOXON,Small molecule
CHEMBL2431120,CHEMBL2431120,Small molecule
CHEMBL245549,CHEMBL245549,Small molecule
CHEMBL300138,ENZASTAURIN,Small molecule
CHEMBL305380,BUPRANOLOL,Small molecule
CHEMBL3103000,CHEMBL3103000,Small molecule
CHEMBL3109933,CHEMBL3109933,Small molecule
CHEMBL316080,CHEMBL316080,Small molecule
CHEMBL3301599,ONALESPIB LACTATE,Small molecule
CHEMBL332765,CHEMBL332765,Small molecule
CHEMBL3329665,CHEMBL3329665,Small molecule
CHEMBL3357439,CHEMBL3357439,Small molecule
CHEMBL3408940,CHEMBL3408940,Small molecule
CHEMBL3544971,DEXTROAMPHETAMINE SULFATE,Small molecule
CHEMBL3545236,BPI-9016,Small molecule
CHEMBL3580427,CHEMBL3580427,Small molecule
CHEMBL3623003,CHEMBL3623003,Small molecule
CHEMBL3633930,CHEMBL3633930,Small molecule
CHEMBL373081,MICRONOMICIN,Small molecule
CHEMBL386661,CHEMBL386661,Small molecule
CHEMBL3919831,AMREDOBRESIB,Small molecule
CHEMBL3952064,CHEMBL3952064,Small molecule
CHEMBL402823,CHEMBL402823,Small molecule
CHEMBL4077893,CHEMBL4077893,Small molecule
CHEMBL4129018,MW-150,Small molecule
CHEMBL4297517,MAVACAMTEN,Small molecule
CHEMBL4297629,NEDISERTIB,Small molecule
CHEMBL4297679,ZINLIRVIMAB,Antibody
CHEMBL4297870,MITAZALIMAB,Antibody
CHEMBL4297941,DSTA-4637S,Unknown
CHEMBL4298012,TESIDOLUMAB,Antibody
CHEMBL4300152,SILVER DIAMMINE FLUORIDE,Small molecule
CHEMBL436947,CHEMBL436947,Small molecule
CHEMBL452596,CHEMBL452596,Small molecule
CHEMBL4650296,BOS-589,Unknown
CHEMBL473,DOFETILIDE,Small molecule
CHEMBL4802215,GALEGENIMAB,Antibody
CHEMBL490730,CHEMBL490730,Small molecule
CHEMBL5095248,SEBETRALSTAT,Small molecule
CHEMBL509730,CHEMBL509730,Small molecule
CHEMBL511828,CHEMBL511828,Small molecule
CHEMBL5189857,CHEMBL5189857,Unknown
CHEMBL521703,CHEMBL521703,Small molecule
CHEMBL522806,(R)-MON-97,Small molecule
CHEMBL524014,CHEMBL524014,Small molecule
CHEMBL571030,CHEMBL571030,Small molecule
CHEMBL582,ISOPROPYL ALCOHOL,Small molecule
CHEMBL592374,AMITIFADINE,Small molecule
CHEMBL595,PIOGLITAZONE,Small molecule
CHEMBL808,ECONAZOLE,Small molecule
CHEMBL87277,CHEMBL87277,Small molecule
CHEMBL1096754,CHEMBL1096754,Small molecule
CHEMBL1141,POTASSIUM IODIDE,Small molecule
CHEMBL1173655,AFATINIB,Small molecule
CHEMBL1200607,PERFLEXANE,Small molecule
CHEMBL1200618,FEXOFENADINE HYDROCHLORIDE,Small molecule
CHEMBL1201293,ACAMPROSATE,Small molecule
CHEMBL1201664,INSULIN ASPART PROTAMINE RECOMBINANT,Protein
CHEMBL1201824,ALGLUCOSIDASE ALFA,Enzyme
CHEMBL1207745,BERAPROST,Small molecule
CHEMBL1236682,REFAMETINIB,Small molecule
CHEMBL123678,CHEMBL123678,Small molecule
CHEMBL12948,SEMUSTINE,Small molecule
CHEMBL1377,CHLOROGUANIDE,Small molecule
CHEMBL157138,LISURIDE,Small molecule
CHEMBL16332,ZOFENOPRILAT,Small molecule
CHEMBL1642258,CHEMBL1642258,Small molecule
CHEMBL1718444,CHEMBL1718444,Small molecule
CHEMBL1738705,CHEMBL1738705,Small molecule
CHEMBL1743073,SOTATERCEPT,Protein
CHEMBL178657,CHEMBL178657,Small molecule
CHEMBL1794067,GSK-978744A,Small molecule
CHEMBL1794069,GSK-571989A,Small molecule
CHEMBL204543,"Naphthalene-1,2-Diol",Small molecule
CHEMBL2103844,PIXANTRONE DIMALEATE,Small molecule
CHEMBL2104519,XIBORNOL,Small molecule
CHEMBL2105711,TOFOGLIFLOZIN,Small molecule
CHEMBL2107373,SOTIRIMOD,Small molecule
CHEMBL2107781,SODIUM TARTRATE,Small molecule
CHEMBL2107935,LYSOZYME CHLORIDE,Unknown
CHEMBL2108688,SMALLPOX VACCINE,Unknown
CHEMBL2109193,GAVILIMOMAB,Antibody
CHEMBL2109328,IMC-EB10,Antibody
CHEMBL2109338,AMG-729,Antibody
CHEMBL2178422,RIMEGEPANT,Small molecule
CHEMBL2180408,JNJ-42396302,Small molecule
CHEMBL2208405,CHEMBL2208405,Small molecule
CHEMBL2218913,CAPREOMYCIN SULFATE,Protein
CHEMBL232148,CHEMBL232148,Small molecule
CHEMBL2361370,PENBUTOLOL SULFATE,Small molecule
CHEMBL242948,POLAPREZINC,Small molecule
CHEMBL3039544,TECEMOTIDE,Protein
CHEMBL3187365,ASENAPINE,Small molecule
CHEMBL3301576,PEGPLERANIB SODIUM,Unknown
CHEMBL3301672,ERITORAN TETRASODIUM,Small molecule
CHEMBL3348963,TELOTRISTAT ETIPRATE,Small molecule
CHEMBL3422085,CHEMBL3422085,Small molecule
CHEMBL350320,PHENYLALANINE AMIDE,Small molecule
CHEMBL3544907,PICOPLATIN,Small molecule
CHEMBL3695568,JNJ-49095397,Small molecule
CHEMBL3707275,VORETIGENE NEPARVOVEC,Gene
CHEMBL372227,CHEMBL372227,Small molecule
CHEMBL375530,DICHLORORIBOBENZIMIDAZOLE,Small molecule
CHEMBL3792850,CHEMBL3792850,Small molecule
CHEMBL3935647,CHEMBL3935647,Small molecule
CHEMBL4073443,TOMIVOSERTIB,Small molecule
CHEMBL412309,AR-67,Small molecule
CHEMBL414157,TONAPOFYLLINE,Small molecule
CHEMBL414883,RADICICOL,Small molecule
CHEMBL4214264,CHEMBL4214264,Small molecule
CHEMBL4278681,CHEMBL4278681,Small molecule
CHEMBL4298044,MINT-1526A,Unknown
CHEMBL44,GENISTEIN,Small molecule
CHEMBL4594285,PADELIPORFIN POTASSIUM,Small molecule
CHEMBL4594419,BMS-813160,Small molecule
CHEMBL4650275,LUMASIRAN SODIUM,Oligonucleotide
CHEMBL4650493,ZEDENOLEUCEL,Cell
CHEMBL4800073,CHEMBL4800073,Unknown
CHEMBL483995,CHEMBL483995,Small molecule
CHEMBL495493,CHEMBL495493,Small molecule
CHEMBL498032,CHEMBL498032,Small molecule
CHEMBL5095268,BMS-986184,Unknown
CHEMBL5095279,MECAPEGFILGRASTIM,Protein
CHEMBL5095315,TRASTUZUMAB IMBOTOLIMOD,Antibody
CHEMBL562314,CHEMBL562314,Small molecule
CHEMBL594984,CHEMBL594984,Small molecule
CHEMBL604123,CHEMBL604123,Small molecule
CHEMBL607712,4-HYDROXYPHENYLPYRUVIC ACID,Small molecule
CHEMBL712,ANISINDIONE,Small molecule
CHEMBL8145,DAIDZEIN,Small molecule
CHEMBL856,PRIMIDONE,Small molecule
CHEMBL1091250,INDIGOTINDISULFONATE,Small molecule
CHEMBL1097279,CANGRELOR TETRASODIUM,Small molecule
CHEMBL1160597,CHEMBL1160597,Small molecule
CHEMBL1200338,PINACIDIL,Small molecule
CHEMBL1200981,EPIRUBICIN HYDROCHLORIDE,Small molecule
CHEMBL1201346,BALSALAZIDE,Small molecule
CHEMBL1201577,CETUXIMAB,Antibody
CHEMBL1201595,LARONIDASE,Enzyme
CHEMBL1223207,CHEMBL1223207,Small molecule
CHEMBL1229516,CHEMBL1229516,Small molecule
CHEMBL1230961,Apramycin,Small molecule
CHEMBL1232445,17-Epiestriol,Small molecule
CHEMBL1232673,4-Fluorobenzenesulfonamide,Small molecule
CHEMBL1232973,CHEMBL1232973,Small molecule
CHEMBL1234781,NAPHTHYLOXYACETIC ACID,Small molecule
CHEMBL1272250,CHEMBL1272250,Small molecule
CHEMBL13,METOPROLOL,Small molecule
CHEMBL142464,CGC-11047,Small molecule
CHEMBL1502047,CHEMBL1502047,Small molecule
CHEMBL1573436,CHEMBL1573436,Small molecule
CHEMBL1611,PHENYTOIN SODIUM,Small molecule
CHEMBL1617726,CHEMBL1617726,Small molecule
CHEMBL1644695,SODIUM IODIDE,Small molecule
CHEMBL1655,TOREMIFENE,Small molecule
CHEMBL1684590,CHEMBL1684590,Small molecule
CHEMBL1742994,BRENTUXIMAB VEDOTIN,Antibody
CHEMBL1765463,CHEMBL1765463,Small molecule
CHEMBL206031,BRECANAVIR,Small molecule
CHEMBL2107384,VICRIVIROC MALEATE,Small molecule
CHEMBL2108707,GLEMBATUMUMAB,Antibody
CHEMBL2109128,LENOGRASTIM,Protein
CHEMBL2109455,AL-901,Antibody
CHEMBL2109553,CYT-500 177LU,Antibody
CHEMBL2110666,DENAGLIPTIN,Small molecule
CHEMBL2178134,CHEMBL2178134,Small molecule
CHEMBL222287,IBOGAINE,Small molecule
CHEMBL2315937,CHEMBL2315937,Small molecule
CHEMBL235668,TIPIRACIL,Small molecule
CHEMBL236345,MGB-BP-3,Small molecule
CHEMBL244342,CHEMBL244342,Small molecule
CHEMBL272251,CHEMBL272251,Small molecule
CHEMBL29919,ELPETRIGINE,Small molecule
CHEMBL311498,CIANIDANOL,Small molecule
CHEMBL312598,CHEMBL312598,Protein
CHEMBL332230,CHEMBL332230,Small molecule
CHEMBL3326006,CHEMBL3326006,Small molecule
CHEMBL3544944,BMS-863233,Small molecule
CHEMBL3544981,TAVILERMIDE,Protein
CHEMBL3545053,EMD-1204831,Small molecule
CHEMBL3545305,CIBINETIDE,Protein
CHEMBL3545328,XL-019,Small molecule
CHEMBL370347,CHEMBL370347,Small molecule
CHEMBL3989406,ENALAPRILAT,Small molecule
CHEMBL4163691,POSELTINIB,Small molecule
CHEMBL4237255,CHEMBL4237255,Small molecule
CHEMBL425783,CHEMBL425783,Small molecule
CHEMBL4295247,CHEMBL4295247,Small molecule
CHEMBL4296683,CHEMBL4296683,Small molecule
CHEMBL4297849,BAMOCAFTOR,Small molecule
CHEMBL4297897,RADAVIRSEN,Oligonucleotide
CHEMBL4297981,IMLIFIDASE,Enzyme
CHEMBL445236,ARGADIN,Small molecule
CHEMBL452587,CHEMBL452587,Small molecule
CHEMBL461101,ELTROMBOPAG,Small molecule
CHEMBL4650384,CALCIUM SODIUM PHOSPHOSILICATE,Unknown
CHEMBL474651,CHEMBL474651,Small molecule
CHEMBL477,ADENOSINE,Small molecule
CHEMBL4789639,BMS-986202,Small molecule
CHEMBL493656,CHEMBL493656,Small molecule
CHEMBL493974,CHEMBL493974,Small molecule
CHEMBL5095049,PACRITINIB CITRATE,Small molecule
CHEMBL5095391,YH-001,Unknown
CHEMBL509544,CHEMBL509544,Small molecule
CHEMBL53950,INCADRONIC ACID,Small molecule
CHEMBL551717,CHEMBL551717,Small molecule
CHEMBL967,TEMAZEPAM,Small molecule
CHEMBL1088973,CHEMBL1088973,Small molecule
CHEMBL1094017,CHEMBL1094017,Small molecule
CHEMBL109817,CHEMBL109817,Small molecule
CHEMBL109831,DEXELVUCITABINE,Small molecule
CHEMBL113313,CAPROMORELIN,Small molecule
CHEMBL1187,PHOSPHORIC ACID,Small molecule
CHEMBL1200455,IOHEXOL,Small molecule
CHEMBL1200604,TROPICAMIDE,Small molecule
CHEMBL1201103,METHOXAMINE HYDROCHLORIDE,Small molecule
CHEMBL1201201,METHAMPHETAMINE,Small molecule
CHEMBL1232583,INDEGLITAZAR,Small molecule
CHEMBL1234270,ARFOLITIXORIN,Small molecule
CHEMBL1236068,STREPTOLYDIGIN,Small molecule
CHEMBL1289,HALOPROGIN,Small molecule
CHEMBL1306,TERCONAZOLE,Small molecule
CHEMBL1455766,CHEMBL1455766,Small molecule
CHEMBL1561,MIGLITOL,Small molecule
CHEMBL160038,NEBICAPONE,Small molecule
CHEMBL162036,BENORILATE,Small molecule
CHEMBL1632,CEPHALOTHIN SODIUM,Small molecule
CHEMBL1651461,CHEMBL1651461,Small molecule
CHEMBL1651462,CHEMBL1651462,Small molecule
CHEMBL1697768,SODIUM PICOSULFATE,Small molecule
CHEMBL1697782,METHYLPREDNISOLONE ACEPONATE,Small molecule
CHEMBL1697829,CEFTEZOLE,Small molecule
CHEMBL1749,EDETATE DISODIUM,Small molecule
CHEMBL1825089,CHEMBL1825089,Small molecule
CHEMBL189558,Cyclo(-Trp-Tyr),Small molecule
CHEMBL1949838,CHEMBL1949838,Small molecule
CHEMBL1950289,TANZISERTIB,Small molecule
CHEMBL19612,SPERMIDINE,Small molecule
CHEMBL2009034,DIMESNA,Small molecule
CHEMBL2022997,CHEMBL2022997,Small molecule
CHEMBL206912,CHEMBL206912,Small molecule
CHEMBL2104292,HEXAPROPYMATE,Small molecule
CHEMBL2105420,TAUROLIDINE,Small molecule
CHEMBL2105618,ALLYLESTRENOL,Small molecule
CHEMBL2105664,TECARFARIN,Small molecule
CHEMBL2107301,VALOMACICLOVIR,Small molecule
CHEMBL2109050,LAUROMACROGOL 400,Unknown
CHEMBL2177629,CHEMBL2177629,Small molecule
CHEMBL227875,PRETOMANID,Small molecule
CHEMBL2381408,SAR-405838,Small molecule
CHEMBL240230,CHEMBL240230,Small molecule
CHEMBL242080,E319,Small molecule
CHEMBL251429,CHEMBL251429,Small molecule
CHEMBL272557,FIACITABINE,Small molecule
CHEMBL272816,CHEMBL272816,Small molecule
CHEMBL298737,CHEMBL298737,Small molecule
CHEMBL304784,CHEMBL304784,Protein
CHEMBL3092562,PF-05180999,Small molecule
CHEMBL3545330,MSX-122,Small molecule
CHEMBL3545427,CM-082,Small molecule
CHEMBL3546958,CHEMBL3546958,Small molecule
CHEMBL3707400,INDANTADOL,Small molecule
CHEMBL3989822,POTASSIUM CITRATE,Small molecule
CHEMBL3989887,TACROLIMUS,Small molecule
CHEMBL3989967,LOTAMILAST,Small molecule
CHEMBL399043,THIOLACTOMYCIN,Small molecule
CHEMBL4249337,ONAMETOSTAT,Small molecule
CHEMBL4297411,OCTAHYDROAMINOACRIDINE SUCCINATE,Small molecule
CHEMBL4298076,BEVIFIMOD,Unknown
CHEMBL441343,PARABEN,Small molecule
CHEMBL457614,CHEMBL457614,Small molecule
CHEMBL4594530,TILVESTAMAB,Antibody
CHEMBL4650393,EPCORITAMAB,Antibody
CHEMBL471,SOTALOL,Small molecule
CHEMBL4742712,CHEMBL4742712,Unknown
CHEMBL5095204,YIMITASVIR PHOSPHATE,Small molecule
CHEMBL5095213,FOSGONIMETON SODIUM,Small molecule
CHEMBL52606,COLFORSIN,Small molecule
CHEMBL539204,N-Chlorotaurine,Small molecule
CHEMBL571433,CHEMBL571433,Small molecule
CHEMBL71733,TRIGONELLAMIDE,Small molecule
CHEMBL85436,CHEMBL85436,Small molecule
CHEMBL94809,HEXADECANESULFONYL FLUORIDE,Small molecule
CHEMBL1078275,CHEMBL1078275,Small molecule
CHEMBL1095788,CHEMBL1095788,Small molecule
CHEMBL1097140,CHEMBL1097140,Small molecule
CHEMBL1200673,XENON XE 127,Small molecule
CHEMBL1200710,CLOMIPRAMINE HYDROCHLORIDE,Small molecule
CHEMBL1201027,GLYCOPYRROLATE,Small molecule
CHEMBL1201032,RIZATRIPTAN BENZOATE,Small molecule
CHEMBL1201587,ALEMTUZUMAB,Antibody
CHEMBL1201637,LIPASE (PANCRELIPASE),Enzyme
CHEMBL1201719,"PETROLATUM, WHITE",Unknown
CHEMBL1234956,FR258900,Small molecule
CHEMBL1277001,MIBAMPATOR,Small molecule
CHEMBL13852,CIRAZOLINE,Small molecule
CHEMBL14145,4-Phenylimidazole,Small molecule
CHEMBL1500155,CHEMBL1500155,Small molecule
CHEMBL1566,ACARBOSE,Oligosaccharide
CHEMBL1651524,PF-3845,Small molecule
CHEMBL1652621,AFN-1252,Small molecule
CHEMBL1730,CEFOTAXIME,Small molecule
CHEMBL1740659,FURSULTIAMINE,Small molecule
CHEMBL1779539,CHEMBL1779539,Small molecule
CHEMBL1819138,CHEMBL1819138,Small molecule
CHEMBL2063326,CHEMBL2063326,Small molecule
CHEMBL2078836,CHEMBL2078836,Unknown
CHEMBL2103830,FOSTAMATINIB,Small molecule
CHEMBL2103870,LUMACAFTOR,Small molecule
CHEMBL2105275,PROPYLHEXEDRINE,Small molecule
CHEMBL2105794,SODIUM HYDROXIDE,Small molecule
CHEMBL2107457,ITOPRIDE,Small molecule
CHEMBL2108248,ANATUMOMAB MAFENATOX,Antibody
CHEMBL2108390,FIBRIN,Unknown
CHEMBL2108566,NERELIMOMAB,Antibody
CHEMBL2111047,PROLINTANE,Small molecule
CHEMBL233209,CHEMBL233209,Small molecule
CHEMBL2407893,CHEMBL2407893,Small molecule
CHEMBL278172,BENZOCAINE,Small molecule
CHEMBL284092,GEPIRONE,Small molecule
CHEMBL295830,CYCLOLEUCINE,Small molecule
CHEMBL309415,CHEMBL309415,Small molecule
CHEMBL310554,CHEMBL310554,Small molecule
CHEMBL3188084,CHEMBL3188084,Small molecule
CHEMBL337204,CHEMBL337204,Small molecule
CHEMBL3393464,CHEMBL3393464,Small molecule
CHEMBL3422098,CHEMBL3422098,Small molecule
CHEMBL3545174,GSK2881078,Small molecule
CHEMBL3545358,4SC-203,Small molecule
CHEMBL3582294,CHEMBL3582294,Small molecule
CHEMBL363614,BENZOFURAN,Small molecule
CHEMBL38700,ELVUCITABINE,Small molecule
CHEMBL3989750,GLUCOSAMINE SULFATE,Small molecule
CHEMBL3989858,MAGNESIUM ACETATE TETRAHYDRATE,Small molecule
CHEMBL4172511,CHEMBL4172511,Small molecule
CHEMBL4297243,EMIPLACEL,Cell
CHEMBL4297352,AZD-1236,Small molecule
CHEMBL4297912,BIFIDOBACTERIUM SPP.,Unknown
CHEMBL429910,DAPAGLIFLOZIN,Small molecule
CHEMBL432537,GNF-Pf-3777,Small molecule
CHEMBL4558528,CHEMBL4558528,Unknown
CHEMBL456163,CHEMBL456163,Small molecule
CHEMBL4594519,ADG-106,Unknown
CHEMBL4650329,AFIMETORAN,Small molecule
CHEMBL4650382,AMUBARVIMAB,Antibody
CHEMBL4650415,PF-05230907,Unknown
CHEMBL4650486,ZANSECIMAB,Antibody
CHEMBL4650894,ISUZINAXIB,Small molecule
CHEMBL4745471,CHEMBL4745471,Unknown
CHEMBL488093,PYRITINOL,Small molecule
CHEMBL501122,CEFTAROLINE FOSAMIL,Small molecule
CHEMBL5084939,CHEMBL5084939,Unknown
CHEMBL541758,FASITIBANT CHLORIDE,Small molecule
CHEMBL560739,CHEMBL560739,Small molecule
CHEMBL607856,CHEMBL607856,Small molecule
CHEMBL62381,SODIUM BUTYRATE,Small molecule
CHEMBL64130,NAPABUCASIN,Small molecule
CHEMBL71927,CHEMBL71927,Small molecule
CHEMBL815,DINOPROST,Small molecule
CHEMBL1198500,CHEMBL1198500,Small molecule
CHEMBL1200495,HYDROCORTISONE SODIUM SUCCINATE,Small molecule
CHEMBL1200906,OXYPHENONIUM BROMIDE,Small molecule
CHEMBL1200929,ZINC SULFATE,Small molecule
CHEMBL1201219,VECURONIUM,Small molecule
CHEMBL1201313,CHLOPHEDIANOL,Small molecule
CHEMBL1201342,METHIXENE,Small molecule
CHEMBL1232147,CHEMBL1232147,Small molecule
CHEMBL1234032,CHEMBL1234032,Small molecule
CHEMBL1237317,CHEMBL1237317,Small molecule
CHEMBL1255871,ASTAXANTHIN,Small molecule
CHEMBL13045,CHELERYTHRINE,Small molecule
CHEMBL1408862,BRONOPOL,Small molecule
CHEMBL141889,CHEMBL141889,Small molecule
CHEMBL1430,PENICILLAMINE,Small molecule
CHEMBL1491,AMLODIPINE,Small molecule
CHEMBL1609,MANDELIC ACID,Small molecule
CHEMBL16192,CP-96345,Small molecule
CHEMBL1624767,"2,3-DIMERCAPTO-1-PROPANESULFONIC ACID",Small molecule
CHEMBL166444,METRIBOLONE,Small molecule
CHEMBL1742408,OSEMOZOTAN,Small molecule
CHEMBL1743062,RAMUCIRUMAB,Antibody
CHEMBL181,DIAZOXIDE,Small molecule
CHEMBL184023,DESMETHYL MYXOPYRONIN B,Small molecule
CHEMBL1928262,GISADENAFIL,Small molecule
CHEMBL1951444,CHEMBL1951444,Small molecule
CHEMBL1980297,ILORASERTIB,Small molecule
CHEMBL200290,CHEMBL200290,Small molecule
CHEMBL2041378,CHEMBL2041378,Small molecule
CHEMBL2095212,MIRABEGRON,Small molecule
CHEMBL2104251,ENBUCRILATE,Small molecule
CHEMBL2104991,VABICASERIN HYDROCHLORIDE,Small molecule
CHEMBL2105656,TELCAGEPANT POTASSIUM,Small molecule
CHEMBL2105977,CIMETROPIUM BROMIDE,Small molecule
CHEMBL2106357,FLORANTYRONE,Small molecule
CHEMBL2108126,PSYLLIUM HUSK,Unknown
CHEMBL2108462,GALASOMITE,Unknown
CHEMBL2108546,PEGASPARGASE,Enzyme
CHEMBL2108666,YTTRIUM Y 90 EPRATUZUMAB TETRAXETAN,Antibody
CHEMBL2108906,BELLADONNA,Small molecule
CHEMBL2145077,IVABRADINE HYDROCHLORIDE,Small molecule
CHEMBL2146086,CRENOLANIB BESYLATE,Small molecule
CHEMBL2177161,CHEMBL2177161,Small molecule
CHEMBL2177631,CHEMBL2177631,Small molecule
CHEMBL2218894,FLUVASTATIN SODIUM,Small molecule
CHEMBL2272031,PENTAMYCIN,Small molecule
CHEMBL2387408,LINERIXIBAT,Small molecule
CHEMBL253629,CHEMBL253629,Small molecule
CHEMBL257341,CHEMBL257341,Small molecule
CHEMBL271310,CHEMBL271310,Small molecule
CHEMBL29404,ENECADIN,Small molecule
CHEMBL3181870,PYRIDOXAL PHOSPHATE,Small molecule
CHEMBL3183703,CHEMBL3183703,Small molecule
CHEMBL320049,CHEMBL320049,Small molecule
CHEMBL3422077,CHEMBL3422077,Small molecule
CHEMBL3823620,CHEMBL3823620,Small molecule
CHEMBL3833317,FERRIC PYROPHOSPHATE CITRATE,Small molecule
CHEMBL3833340,AZTREONAM LYSINE,Small molecule
CHEMBL384081,CHEMBL384081,Small molecule
CHEMBL3884914,CHEMBL3884914,Small molecule
CHEMBL3989943,DAPANSUTRILE,Small molecule
CHEMBL3989962,PEMETREXED TROMETHAMINE,Small molecule
CHEMBL4060134,CHEMBL4060134,Small molecule
CHEMBL408,TROGLITAZONE,Small molecule
CHEMBL4170056,CHEMBL4170056,Small molecule
CHEMBL4172205,CHEMBL4172205,Small molecule
CHEMBL4204482,CHEMBL4204482,Small molecule
CHEMBL4296718,CHEMBL4296718,Small molecule
CHEMBL4297437,ST-101,Small molecule
CHEMBL4297928,NOMACOPAN,Unknown
CHEMBL4297963,GP-100 ANTIGEN,Unknown
CHEMBL440294,PIPAMPERONE,Small molecule
CHEMBL441687,GLYCYRRHIZIN,Small molecule
CHEMBL4549667,TP-030-2,Unknown
CHEMBL4594339,OMODENBAMAB,Antibody
CHEMBL4650425,TG-1801,Unknown
CHEMBL4650460,PLUTAVIMAB,Antibody
CHEMBL467773,CHEMBL467773,Small molecule
CHEMBL470226,CHEMBL470226,Small molecule
CHEMBL471988,CHEMBL471988,Small molecule
CHEMBL4802167,BMS-770767,Unknown
CHEMBL49429,LIXIVAPTAN,Small molecule
CHEMBL601864,CHEMBL601864,Small molecule
CHEMBL779,TADALAFIL,Small molecule
CHEMBL78455,CHEMBL78455,Small molecule
CHEMBL102358,IDROCILAMIDE,Small molecule
CHEMBL1081615,ATPENIN A5,Small molecule
